"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"hg19-ADRM1",1.1191066752723e-137,0.372472830537628,0.843,0.429,2.02468779690265e-133,"2","hg19-ADRM1"
"hg19-GPC1",6.98781313915628e-137,0.466649900565835,0.896,0.525,1.26423515313615e-132,"2","hg19-GPC1"
"hg19-ANXA6",8.48602936297337e-137,0.422903468585597,0.947,0.603,1.53529243234914e-132,"2","hg19-ANXA6"
"hg19-COX5B",6.1174293818418e-136,0.531431365041122,0.995,0.896,1.10676532376282e-131,"2","hg19-COX5B"
"hg19-TAF9",7.63243502835626e-136,0.404834602401846,0.946,0.623,1.38086014533022e-131,"2","hg19-TAF9"
"hg19-GSPT1",4.33816683584873e-134,0.346416693978343,0.853,0.437,7.84861143941752e-130,"2","hg19-GSPT1"
"hg19-GPX31",7.17778224906716e-132,0.318508437731871,0.67,0.289,1.29860436450123e-127,"2","hg19-GPX3"
"hg19-ITM2B1",1.50943095101378e-131,0.434716671985703,0.964,0.652,2.73086247657413e-127,"2","hg19-ITM2B"
"hg19-ROCK2",1.82034819466288e-131,0.375962635871056,0.804,0.397,3.29337395378408e-127,"2","hg19-ROCK2"
"hg19-ANO6",1.98344670052173e-131,0.290073177183771,0.705,0.297,3.58845177058391e-127,"2","hg19-ANO6"
"hg19-MT-ND2",1.08043170948615e-130,0.410278879718441,0.999,0.993,1.95471704880234e-126,"2","hg19-MT-ND2"
"hg19-MXD4",1.56920618058884e-130,0.418143238879292,0.955,0.657,2.83900782192133e-126,"2","hg19-MXD4"
"hg19-EIF3K1",1.19667369886195e-129,0.400308146914844,0.995,0.908,2.16502205598104e-125,"2","hg19-EIF3K"
"hg19-EIF4EBP2",1.44246888311393e-129,0.34364316696397,0.834,0.426,2.60971470332972e-125,"2","hg19-EIF4EBP2"
"hg19-TMBIM1",2.78720022180007e-129,0.28177296095391,0.737,0.319,5.04260264128068e-125,"2","hg19-TMBIM1"
"hg19-CHID1",2.94118627590164e-129,0.310882209770563,0.794,0.367,5.32119421036124e-125,"2","hg19-CHID1"
"hg19-OLA1",1.10234829778863e-128,0.330732130077046,0.822,0.404,1.99436854035919e-124,"2","hg19-OLA1"
"hg19-UQCRQ",1.75826867145483e-126,0.47892523662082,0.999,0.988,3.18105968039607e-122,"2","hg19-UQCRQ"
"hg19-HIGD2A",4.47573987131564e-126,0.403699030330297,0.986,0.819,8.09750857518425e-122,"2","hg19-HIGD2A"
"hg19-FIS1",8.37146974264606e-126,0.447914477158206,0.984,0.821,1.51456630583953e-121,"2","hg19-FIS1"
"hg19-RABGGTB",8.46111893609981e-126,0.26209806101126,0.712,0.303,1.53078563791918e-121,"2","hg19-RABGGTB"
"hg19-DUS1L",1.05320039980194e-125,0.293966485594916,0.772,0.354,1.90545016332166e-121,"2","hg19-DUS1L"
"hg19-CLPTM1",8.9369995420151e-125,0.261888590874868,0.659,0.27,1.61688195714137e-120,"2","hg19-CLPTM1"
"hg19-YBX1",1.22347659727312e-124,0.290865325017514,1,0.998,2.21351385978652e-120,"2","hg19-YBX1"
"hg19-WWTR1",2.03470226923818e-124,0.274841995036337,0.707,0.303,3.68118334550572e-120,"2","hg19-WWTR1"
"hg19-GLRX5",2.19145054810343e-124,0.389308342629455,0.947,0.633,3.96477233162872e-120,"2","hg19-GLRX5"
"hg19-AKR1B1",6.99291607818913e-124,0.460508940295442,0.841,0.464,1.26515837686598e-119,"2","hg19-AKR1B1"
"hg19-RERE",3.24140667024129e-123,0.298865757076769,0.77,0.356,5.86435294780054e-119,"2","hg19-RERE"
"hg19-CYSTM1",5.30106125117524e-123,0.33201023822805,0.848,0.434,9.59068001562624e-119,"2","hg19-CYSTM1"
"hg19-CDKN2A1",9.02242195080943e-123,0.417187575738595,0.915,0.54,1.63233657934044e-118,"2","hg19-CDKN2A"
"hg19-COL4A2",1.95983756596629e-122,0.390536163794531,0.995,0.869,3.54573812434621e-118,"2","hg19-COL4A2"
"hg19-BNIP3L1",8.30348063607694e-122,0.385214711784365,0.957,0.631,1.50226571667904e-117,"2","hg19-BNIP3L"
"hg19-LAMTOR41",4.71499914982344e-121,0.390631159122466,0.995,0.822,8.53037646186057e-117,"2","hg19-LAMTOR4"
"hg19-AURKAIP1",8.58120190177975e-121,0.380864431883815,0.992,0.855,1.55251104806999e-116,"2","hg19-AURKAIP1"
"hg19-STRA13",6.62954577276207e-120,0.418535693401797,0.946,0.672,1.19941742120811e-115,"2","hg19-STRA13"
"hg19-CRLS1",1.35350302741636e-119,0.276402751626907,0.741,0.334,2.44875767720168e-115,"2","hg19-CRLS1"
"hg19-UBXN11",3.67273886298149e-119,0.387165275781355,0.983,0.683,6.64471915090611e-115,"2","hg19-UBXN1"
"hg19-FAM173A",5.9991633709515e-119,0.278668193676203,0.739,0.335,1.08536863707255e-114,"2","hg19-FAM173A"
"hg19-AFG3L2",1.79373532216101e-118,0.250032464512989,0.689,0.294,3.2452259448537e-114,"2","hg19-AFG3L2"
"hg19-NDUFA3",2.01096864554704e-118,0.44167392961436,0.946,0.682,3.6382444735237e-114,"2","hg19-NDUFA3"
"hg19-ATP5C1",6.71228796586359e-118,0.369711389432496,0.907,0.527,1.21438713878404e-113,"2","hg19-ATP5C1"
"hg19-SCARB2",1.11686624472541e-116,0.317103422431766,0.81,0.397,2.02063440995721e-112,"2","hg19-SCARB2"
"hg19-C19orf60",5.51510451987922e-116,0.369985130078508,0.937,0.595,9.97792709736548e-112,"2","hg19-C19orf60"
"hg19-CCT3",5.76756773850301e-116,0.35457263599189,0.906,0.54,1.04346835524996e-111,"2","hg19-CCT3"
"hg19-IFRD2",7.38994306284574e-115,0.259360115075733,0.701,0.306,1.33698849893005e-110,"2","hg19-IFRD2"
"hg19-DAG1",9.29823911567232e-115,0.264023263916548,0.745,0.339,1.68223742080744e-110,"2","hg19-DAG1"
"hg19-DPP71",1.10043679212855e-114,0.319010148914746,0.862,0.454,1.99091024431898e-110,"2","hg19-DPP7"
"hg19-NDUFV1",2.12443589650901e-114,0.2916336095812,0.783,0.378,3.8435294239641e-110,"2","hg19-NDUFV1"
"hg19-C1QBP",8.12572539707608e-113,0.366620817309337,0.943,0.625,1.47010623883901e-108,"2","hg19-C1QBP"
"hg19-RHOQ",4.5486630360438e-111,0.336611943456827,0.883,0.495,8.22944116481045e-107,"2","hg19-RHOQ"
"hg19-SSB1",1.17985148143881e-110,0.312490303394828,0.813,0.417,2.1345873002191e-106,"2","hg19-SSB"
