"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"mm10-Atp5h",8.25733042358532e-32,0.530524926999801,0.993,0.99,1.28062937539385e-27,"2","mm10-Atp5h"
"mm10-Lage3",1.11663959921504e-31,0.351394183258958,0.88,0.717,1.73179635442261e-27,"2","mm10-Lage3"
"mm10-Ccng1",1.26077855670085e-31,0.352968420515373,0.897,0.626,1.95534146358734e-27,"2","mm10-Ccng1"
"mm10-Atp6v1a1",1.3098931026482e-31,0.382011267006096,0.845,0.579,2.03151321289709e-27,"2","mm10-Atp6v1a"
"mm10-Ggnbp2",1.42734199472653e-31,0.27533846767791,0.799,0.508,2.21366469962138e-27,"2","mm10-Ggnbp2"
"mm10-Dgcr6",1.8839823183791e-31,0.417263256975956,0.934,0.794,2.92186817757415e-27,"2","mm10-Dgcr6"
"mm10-Tomm6",2.71698091183089e-31,0.284368158055816,0.797,0.518,4.21376569615853e-27,"2","mm10-Tomm6"
"mm10-Tmem43",3.06003431730791e-31,0.295209157381301,0.664,0.372,4.74580722271285e-27,"2","mm10-Tmem43"
"mm10-Mrps18c",3.52007514023162e-31,0.389353419295959,0.891,0.772,5.45928453498522e-27,"2","mm10-Mrps18c"
"mm10-Eif4e",4.3687365494723e-31,0.364704093623344,0.908,0.764,6.77547351457659e-27,"2","mm10-Eif4e"
"mm10-Timm91",4.38241362056157e-31,0.325557781055102,0.812,0.572,6.79668528412895e-27,"2","mm10-Timm9"
"mm10-Rad23b",4.54452618098365e-31,0.306717923829799,0.869,0.62,7.04810565408754e-27,"2","mm10-Rad23b"
"mm10-Fastk",4.60043279888701e-31,0.318161848512654,0.814,0.528,7.13481122779386e-27,"2","mm10-Fastk"
"mm10-Mrpl34",9.47063697064679e-31,0.354140238225318,0.943,0.858,1.46880108777761e-26,"2","mm10-Mrpl34"
"mm10-Emc3",1.10571966698937e-30,0.307276145981026,0.858,0.62,1.71486063153381e-26,"2","mm10-Emc3"
"mm10-Pkig",1.39761398343025e-30,0.399370836402018,0.948,0.823,2.16755952690197e-26,"2","mm10-Pkig"
"mm10-Tmem55a",2.52939577577271e-30,0.271185925325027,0.766,0.502,3.9228399086459e-26,"2","mm10-Tmem55a"
"mm10-Psap1",3.33274249485844e-30,0.355837435209259,0.989,0.862,5.16875033527595e-26,"2","mm10-Psap"
"mm10-S100a13",5.29711989311633e-30,0.57425220157715,0.884,0.761,8.21530324223411e-26,"2","mm10-S100a13"
"mm10-Hnrnpa2b1",7.43363899883601e-30,0.321627895002969,0.998,0.958,1.15288307232948e-25,"2","mm10-Hnrnpa2b1"
"mm10-Pten1",7.70706312121671e-30,0.265731931813039,0.882,0.622,1.1952884194695e-25,"2","mm10-Pten"
"mm10-Tnfrsf1a",1.02338215248647e-29,0.294476670449317,0.93,0.731,1.58716338029127e-25,"2","mm10-Tnfrsf1a"
"mm10-Park7",1.26266712031082e-29,0.387605322024592,0.939,0.877,1.95827043689005e-25,"2","mm10-Park7"
"mm10-Atg3",1.52490020247324e-29,0.312079702672124,0.782,0.549,2.36496772401575e-25,"2","mm10-Atg3"
"mm10-Tmbim4",1.59992317499622e-29,0.384792430948018,0.806,0.626,2.48132085210164e-25,"2","mm10-Tmbim4"
"mm10-Cdc341",1.77796675393244e-29,0.325950637101796,0.98,0.792,2.75744863867383e-25,"2","mm10-Cdc34"
"mm10-mt-Co31",2.0545316505086e-29,0.395379659380393,1,1,3.18637313677378e-25,"2","mm10-mt-Co3"
"mm10-Dnajc21",2.11476614111797e-29,0.287869121615369,0.773,0.493,3.27979080825986e-25,"2","mm10-Dnajc21"
"mm10-Hmox1",2.17412501349977e-29,0.767647374611545,0.825,0.619,3.37185048343679e-25,"2","mm10-Hmox1"
"mm10-2410015M20Rik1",2.2631336447015e-29,0.429919960611351,0.961,0.924,3.50989396956755e-25,"2","mm10-2410015M20Rik"
"mm10-Fxn",2.59331467794998e-29,0.293574361169274,0.803,0.543,4.02197173403262e-25,"2","mm10-Fxn"
